TDGF1
C8A
C8B
C9
GRTP1
LRRTM4
EFHD1
DCAF11
RND2
ACOX2
GUCD1
RBP5
TMEM120A
SOAT2
CREB3L3
GPT2
CNDP1
SERPINA6
CBS
PROZ
BMERB1
SHF
CARMIL3
RASL10B
ORAI3
CPNE6
GRHPR
HOMER2
SH3PXD2A
NR1I3
MTHFD1
ACO1
PLG
UGT1A4
ST6GAL1
SORD
FAM124B
TRIM55
CAT
ADHFE1
DPPA4
ADH1C
ACMSD
CMBL
PPP1R1C
CMTM8
ALDOB
ZNF330
FTCDNL1
LNP1
DNAJC25
MTARC2
MTARC1
GGACT
CORO2A
GNE
TOM1L1
MAMLD1
NAMPT
TOB1
AASS
TRIB1
GPHN
GLYAT
NET1
CITED2
ST3GAL6
PDLIM5
IVNS1ABP
CELF1
SLC17A3
IQGAP2
ZNF275
CLPX
CFHR3
PPARGC1A
SMPDL3A
SDS
NUDT4
DUSP10
CHN2
POU6F2
ERMAP
OSBPL6
GPRASP2
TADA1
SLC16A10
ADH1B
CNGA1
ADH4
ADH6
ACVR1C
ADH7
CPS1
ASB9
CBLN4
AMDHD1
KICS2
RDH12
PTGR2
TERB2
CTH
HORMAD2
ZNF385B
GDF7
NEK10
PPM1K
ARSK
ADRB2
CNKSR3
SLC2A12
VKORC1L1
CYP2C8
CYP3A4
ZFP1
TOR1AIP2
ADGRA3
FAM9B
DNAH6
ABAT
DSG1
FAM227B
EIF4B
EIF4EBP2
SPRED2
DHFR2
TMEM192
RANBP3L
EPHB1
ERBB3
ALB
F11
FOLH1B
ABCB7
DOK6
HEPACAM
RNF152
NSUN6
COBLL1
SLITRK3
CNKSR2
FKBP5
KLHDC10
FBXO21
MYO16
SAMD4A
FOXO1
FOXO3
RAD54L2
PHF8
METAP1
MDN1
PHLPP1
TSPYL4
FMO4
FMO5
PSD3
FOLH1
ABCA6
G6PC1
METTL7A
RTTN
NUDT13
CYP4X1
RAI14
ARHGEF26
GAS2
GCNT2
PCOLCE2
CYFIP2
TSPAN13
B3GAT1
NAAA
GLS2
RND1
SLCO1B3
AQP11
ZADH2
LURAP1L
C11orf54
ASTE1
CTNNA3
GSTA2
BLNK
DMGDH
PSAT1
GYS2
HAL
AOX1
HPRT1
ACADL
NLRP14
SLCO1B7
DCDC1
SOWAHB
LRRTM3
IGF1
IL1RAP
IL6R
ACADSB
ING1
INSR
AQP9
IRS1
AR
KCND3
KCNMA1
KCNN2
KLKB1
IPO5
SLC22A25
SKIDA1
SLC16A12
SLC22A10
TMEM220
GLYATL3
IYD
FRRS1
LEPR
PAIP2B
LPA
CYP4F3
MAF
MAOA
MCC
MET
MIA2
NR3C2
MME
ALDH6A1
NUDT4B
TMEM150C
CDNF
ASPA
MMUT
MXI1
MYCL
NCAM2
NFATC3
NT5E
OAT
ALDH7A1
P4HA1
PAH
PCBP2
PCK1
AADAT
HSD17B11
HERC5
CYP39A1
GPR89B
LGSN
PDK3
ASB4
ENPP1
ENPP3
PKD2
PANK1
CHRAC1
GPR88
ERRFI1
PON3
RETREG1
PPARA
UGT1A3
ZRANB1
PLPPR1
ACSM5
MACO1
ELP2
WDR33
DHTKD1
IL17RB
SYBU
ADCY10
DCAF6
GOLGA6B
MAP2K1
BAAT
MAN1C1
MTUS1
FNIP2
ZSWIM5
EPB41L5
PTPN3
PTPRD
BCHE
RBL2
SENP2
RBMS1
BCKDHB
ACSM3
SCN9A
BHMT
SDC4
DMRTA1
PBLD
MCCC2
FAM110C
GREM2
HHIP
GAREM1
DEPTOR
CYP3A43
ST3GAL1
PCDH20
SLC1A2
WNK3
SLC7A2
SLC16A1
SLC17A1
SLCO1A2
SNAI2
GRAMD2B
SNTB1
SRD5A1
AKR1D1
SSTR1
ST13
SULT1E1
SYT1
KLF9
TAT
TBX3
TEC
TIAM1
FHIP1A
USH2A
VSNL1
WEE1
XRCC5
CA2
ZBTB16
CSDE1
FZD5
ALDH5A1
FAM184A
TUT7
ZFAND1
CALM1
CXXC4
FXR1
CFHR5
C1orf21
FAM83D
ACAD11
ZNRF3
BBOX1
ZBED3
L3MBTL3
USP30
GPAT3
RSPO3
PRSS12
REPS1
LGR5
CDC14B
KMO
TNFSF10
IL1RL2
SOCS2
PER3
KALRN
NAT1
PAPSS2
ANGPTL1
DIRAS3
MTMR4
L3MBTL4
SLC16A4
DEPDC7
LGI1
ACVR2B
TRMT10A
ABCG2
NR1D1
LPIN2
TRAM2
ARHGAP32
SERTAD2
JAKMIP2
KBTBD11
SLC23A2
IGFBP2
SHBG
ADH1A
ALDH3A2
FMO3
CDADC1
ALDH1A1
TRHDE
KCNJ3
BRCA1
WBP1L
GID8
SMAP2
TESK2
NUDT16
LRIG1
KIAA1191
PHAF1
AGBL4
DNAJC12
TNIK
TENT5C
