DTX1
FREM1
TMTC2
APOBEC3H
FAM171B
CLEC4F
DCLK2
GLIS3
DLG3
HBEGF
EBF1
EDN1
EFNB3
DZIP1L
CEP112
ZBTB7C
DNAJC18
INTS6L
EPHA4
FAM162B
PI16
SEMA3D
FGF1
FGF7
FGFR2
DZIP1
INPP5F
FOXF1
FOXS1
SEPTIN8
MTCL1
NCS1
HEY1
FOLR1
CLCF1
DNAAF11
RAB38
ARHGAP8
FJX1
FUT3
FUT4
MAMDC2
TTLL1
BACE2
HSPA12A
ZNF521
LHX6
NBEA
ANKRD1
SRPX2
BHLHE22
GLRB
GMPR
GPM6B
KCTD1
ZIK1
IGSF10
TMSB15B
GPX7
STXBP6
PDZRN4
HLA.DQB2
HOXB2
HOXB3
HOXB4
ANKDD1A
IL3RA
IRF4
ITGB4
ITGB8
JAG2
ANOS1
SPATA21
KCNJ15
KCNS3
FIBIN
TNFAIP8L3
ZNF888
VGLL3
ARHGEF37
SFTA2
PINLYP
LAMA4
LAMC2
ARHGAP6
LIF
LIMK2
VWA5A
MAL
MAP2
MAP6
MDFI
MEIS1
MEOX2
MLF1
CD200
MPZ
SMIM22
RHEX
NRARP
NEO1
NFATC1
NGF
CCN3
NPHP1
NRCAM
NTRK3
P2RX1
CD207
ATL1
PLCE1
PCSK5
IER5
RASL12
PDE3A
GULP1
PDE9A
PDGFRL
HIGD1B
PF4V1
PLAGL1
PLCB4
SPA17
CLIC5
FXYD3
PLP1
IL20RA
PRRX1
HMGCLL1
SLC35F2
BSPRY
MFSD6
SYTL2
ESRP1
EPS8L1
NBDY
ZNF532
PPP2R2B
SLC22A15
TRPV6
FERMT1
BCAS4
ZNF83
DEPDC1B
CSGALNACT1
TRERF1
MAPK10
PCDHB15
CCL28
MUC13
PLXDC1
ATP10A
SLC45A4
TTYH1
SLC24A3
CRACD
RNF150
RIMKLB
SYT13
LRRN1
CCDC146
LRRC4C
CPNE5
SCUBE2
PTPN14
PTPRH
JAM2
ARHGAP22
EVA1C
PAPPA2
SALL2
MAPK12
SCN4B
SCNN1A
BICD1
CCL17
ZNF667
SOX17
NDRG4
SLC2A1
BMP4
WNK2
SLC7A1
BMX
SNCA
STC1
KLF5
TCF21
TGFB2
THBD
TPBG
TRPC1
TUB
GXYLT2
MAGED4
VEGFC
EZR
VLDLR
ZNF711
ZNF135
CA11
DNALI1
CACNA2D1
PCYOX1L
C1orf116
MMP28
ARSJ
DYNC2H1
MAFK
TCTN2
MAP9
ZNF671
WLS
GRHL2
POF1B
PCNX2
ZNF703
FRAS1
ZC3H12A
ASRGL1
FHOD3
ADAM33
LY6G5C
COL21A1
KAZALD1
ADAMTS12
CAPN6
FZD1
NME5
CCDC8
WDR54
MINDY4
ATP13A4
FNDC1
COX4I2
ZNF607
SEMA7A
CILP
MEDAG
SMIM3
CNTNAP1
ITGA8
KIAA1755
RUNX1T1
UNC5C
PDE5A
CBLN1
RGS9
INPP4B
CCN4
ALDH1A2
FCGBP
CCND2
NAV3
KCNK17
CFAP91
CCDC74A
ZNF439
FMNL3
BOC
PNMA1
CCDC102A
PKHD1L1
NEURL3
FAM189A2
FHL5
HAND2
CHST10
VGLL4
SEMA3E
RIMS3
SV2A
ARHGAP44
ARNT2
GFPT2
NM_001348165
OSBPL7
CNN2
CCM2L
SPINDOC
BTNL9
TAMALIN
ARHGEF15
ST6GALNAC4
GRK5
FHOD1
CDR2L
APBB1
ANO9
SH3RF3
ITPR3
INKA1
LFNG
VILL
CALHM2
HDAC7
PLEKHG5
GALNT16
TSHZ3
RARG
ARAP3
TMEM204
EFCC1
TEAD2
TNFSF12
FCHSD1
MYADM
ADCY4
GABBR1
PDZD4
ROBO3
HNF1B
LPAR2
TRIP10
LRCOL1
FSTL3
EFS
CDKN1C
NPM2
KLF2
RAPGEF3
SPON2
P3H3
RAI2
ADCY3
CHD3
PTP4A3
CAVIN3
NRM
TMEM54
CYGB
KLHL29
C1QTNF5
CKB
ARHGEF25
ALPK2
RBP7
FOXN4
PLD4
COL4A2
COL5A1
EMID1
COL6A2
LYPD2
SELENOM
IL34
SLFN13
DACT3
CDC42EP5
SAMD11
DBN1
DUSP8
MEGF6
DTX3
ELF3
ELN
ENO2
EPHB3
EPHB6
PLAC9
UNC5B
FBLN2
FHL3
CLSTN1
FLNA
PHLDB1
ANGPTL2
LDOC1
PPP1R15A
ACKR1
LPCAT4
GABRE
ADGRA2
CLIP3
GPSM1
PHF19
LRRC32
GBGT1
GGT5
ARRDC2
SLCO3A1
UBALD2
SSC5D
GSTP1
EFEMP2
EHD2
TAX1BP3
STING1
IGFBP5
IGLL1
ISLR
ITGA7
C11orf96
IER5L
LOXL2
MDK
MMP11
MMP14
MXRA7
RTL8B
NBL1
NFATC4
ATP1B2
NRGN
STMN3
CERCAM
SLC22A17
PDE4A
ISYNA1
PDGFA
PDGFB
PDGFRB
PFKP
PGF
PLA2G5
SEPTIN5
WNT4
NEURL1B
MXRA8
TMEM51
PACS1
SUSD2
MEIS3
OLFML3
CD248
ATP8B2
PTGIR
PTGIS
SORCS2
EBF4
KIAA1522
QSOX1
HES4
WFDC1
LGR6
RET
FKBP10
RRAS
RTN2
CLEC11A
BGN
RHBDF1
FAM163B
WIPF3
SGCA
HRCT1
NIBAN2
NT5DC2
SLC1A7
SLC6A8
SMARCD3
SNAI1
SNCG
ST14
TBX2
TEAD4
TGFB1I1
TGFB3
TNXB
TRPM2
LOC728392
DDR1
CACNB3
MALL
SEMA3B
COLEC11
DBNDD1
CCDC28B
NRSN2
ITM2C
ADAMTS10
SFXN3
MARVELD1
RAB34
LTBP4
NCK2
ABLIM2
ACSS1
TUBB6
GLIS2
TCEAL3
MMP23B
KNDC1
PEA15
SERPINH1
IER3
SPHK1
RTL8C
PAPLN
PKDCC
TMEM88
MSC
BICDL1
PDLIM7
B3GNT7
KLF4
HTRA3
PPP1R14A
ADAMTS2
ADAMTSL2
CD79A
ARHGEF17
MRC2
NDUFA4L2
VEGFB
MPP3
MTHFD2
FRMD6
FAM13C
SYT11
BCL2
IFI27L2
OSMR
ENDOD1
FRMD3
KLHL3
ZNF880
MOB3B
ARID5B
